1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Abbe,63.98,-57.58,174.77,174.77,32,31990,55.02,51.47,37.37,33.7,,3.65,2.732,17.16,3536.22,1.24,15.11,,0,14,81.19,0.155,0.465,301.88,37.74,11.18,4.72,2.42,133.49,482.6,527.23,466.8,76.69,61.61,152.88,84.69,99.61,125.01,86.94,,131.08,,5.74,5.15,9.6,10.05,551.77,187,428.9,Nectarian,2,,PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Abbe
Abbe H,25.13,-58.44,177.58,177.58,12.6,12565,21.61,23.26,15.6,10.49,,2.76,1.904,7.75,408.34,0.85,6.92,,0.34,3.94,10.49,0.084,0.251,151.18,18.9,5.6,2.36,1.21,26.1,136.76,149.83,71.59,29.95,24.75,53.96,27.3,31.07,37.24,32.21,,59.82,,0,2.33,0,3.6,25.92,8.8,20.1,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Abbe H
Abbe K,26.1,-59.82,176.86,176.86,13.1,13050,22.45,24.02,16.17,11,,2.79,1.926,8.01,445.67,0.87,7.14,,0.37,4.19,11.39,0.086,0.257,155.48,19.44,5.76,2.43,1.24,28.22,145.62,159.52,78.15,31.12,25.68,56.29,28.58,32.57,39.11,33.54,,61.76,,0,2.4,0,3.75,29.34,9.9,22.8,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Abbe K
Abbe M,28.61,-61.75,175.24,175.24,14.3,14305,24.6,25.97,17.61,12.33,,2.86,1.98,8.66,550.98,0.9,7.71,,0.44,4.84,13.93,0.091,0.274,166.41,20.8,6.16,2.6,1.33,33.93,168.84,184.9,96.25,34.13,28.09,62.35,31.94,36.52,44.05,36.97,,66.7,,2.89,2.6,2.86,4.15,39.62,13.4,30.8,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Abbe M
Abbot,10.4,5.56,54.74,54.74,5.2,5200,8.63,8.74,0,1.93,,2.09,1.71,2.91,44.99,0.39,2.74,,0,0,0,0.047,0.14,208,26,7.7,3.25,1.66,8.33,23.43,25.74,6.87,12.33,10.46,20.19,12.38,14.3,17.51,9.47,,28.53,,0,0.87,0,1.02,0.6,0.2,0.5,,,,,,,IAU1973,1973,,,,,,,,,,,,,,,,,,,,,,,,Abbot
Abel,137.35,-34.63,85.78,85.78,68.7,68675,118.12,98.53,76.32,0,,4.59,2.949,32.84,20651.96,1.68,28.61,,0,33,0,0,0,531.32,66.42,19.68,8.3,4.25,353.38,943.34,1028.22,1507.3,165.39,129.86,358.15,213.68,258.18,336.47,195.78,,248.91,,13.17,9.85,22.04,23.27,6722.42,2278.2,5225.6,pre-Nectarian,1,,GHM 2,,,F1895,1964,,,,,,,,,,,,,,,,,,,,,,,,Abel
Abel A,27.83,-36.31,85.8,85.8,13.9,13915,23.93,25.37,17.17,11.91,,2.84,1.964,8.46,516.9,0.89,7.53,,0.42,4.64,13.11,0.09,0.269,163.04,20.38,6.04,2.55,1.3,32.12,161.59,176.97,90.46,33.19,27.34,60.46,30.89,35.28,42.5,35.9,,65.17,,2.83,2.54,2.7,4.03,36.2,12.3,28.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel A
Abel B,41.55,-36.72,82.6,82.6,20.8,20775,35.73,35.66,24.96,19.65,,3.21,2.218,11.89,1304.6,1.04,10.53,,0.93,8.19,31.54,0.12,0.35,219.34,27.42,8.12,3.43,1.75,67.47,289.54,316.72,210.9,49.68,40.43,94.5,50.2,58.15,71.45,54.96,,91.24,,3.97,3.57,5.42,6.26,134.36,45.5,104.4,Nectarian,2,,PC,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel B
Abel C,36.84,-36.13,81.41,81.41,18.4,18420,31.68,32.19,22.31,16.91,,3.09,2.139,10.73,988.04,1,9.52,,0.73,6.97,24.24,0.11,0.32,200.65,25.08,7.43,3.14,1.61,54.63,245.9,269.08,165.5,44.01,35.95,82.64,43.39,50.05,61.13,48.37,,82.47,,3.59,3.22,4.51,5.48,90.63,30.7,70.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel C
Abel D,27.9,-37.67,86.45,86.45,14,13950,23.99,25.42,17.21,11.95,,2.84,1.965,8.47,519.9,0.89,7.55,,0.42,4.66,13.19,0.09,0.27,163.35,20.42,6.05,2.55,1.31,32.28,162.24,177.68,90.97,33.28,27.41,60.63,30.99,35.4,42.64,36,,65.31,,2.83,2.54,2.72,4.04,36.49,12.4,28.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel D
